file,split,row,location,time,light,subject,license
test_0000.jpg,test,0,outdoor,day,sun_sky,man_made,Adobe
test_0003.jpg,test,3,outdoor,day,sun_sky,nature,AdobeMIT
test_0004.jpg,test,4,outdoor,day,sun_sky,nature,AdobeMIT
test_0005.jpg,test,5,outdoor,day,sun_sky,man_made,AdobeMIT
test_0006.jpg,test,6,outdoor,unknown,sun_sky,nature,AdobeMIT
test_0008.jpg,test,8,outdoor,dusk,sun_sky,nature,Adobe
test_0012.jpg,test,12,outdoor,day,sun_sky,nature,AdobeMIT
test_0016.jpg,test,16,outdoor,day,sun_sky,man_made,Adobe
test_0017.jpg,test,17,outdoor,dusk,sun_sky,nature,AdobeMIT
test_0025.jpg,test,25,outdoor,day,sun_sky,nature,AdobeMIT
test_0030.jpg,test,30,outdoor,day,sun_sky,man_made,Adobe
test_0031.jpg,test,31,outdoor,day,sun_sky,nature,AdobeMIT
test_0034.jpg,test,34,outdoor,day,sun_sky,man_made,Adobe
test_0035.jpg,test,35,outdoor,day,sun_sky,man_made,Adobe
test_0037.jpg,test,37,outdoor,day,sun_sky,nature,AdobeMIT
test_0039.jpg,test,39,outdoor,dusk,sun_sky,man_made,Adobe
test_0040.jpg,test,40,outdoor,unknown,sun_sky,man_made,Adobe
test_0042.jpg,test,42,outdoor,day,sun_sky,man_made,Adobe
test_0043.jpg,test,43,outdoor,day,sun_sky,nature,Adobe
test_0044.jpg,test,44,outdoor,day,sun_sky,man_made,Adobe
test_0045.jpg,test,45,outdoor,day,sun_sky,man_made,Adobe
test_0050.jpg,test,50,outdoor,night,mixed,nature,AdobeMIT
test_0053.jpg,test,53,outdoor,day,sun_sky,man_made,Adobe
test_0057.jpg,test,57,outdoor,day,sun_sky,nature,Adobe
test_0059.jpg,test,59,outdoor,day,sun_sky,man_made,Adobe
test_0060.jpg,test,60,outdoor,unknown,sun_sky,nature,AdobeMIT
test_0061.jpg,test,61,outdoor,day,sun_sky,man_made,Adobe
test_0064.jpg,test,64,outdoor,day,sun_sky,man_made,Adobe
test_0066.jpg,test,66,outdoor,day,sun_sky,man_made,Adobe
test_0073.jpg,test,73,outdoor,dusk,sun_sky,man_made,AdobeMIT
test_0075.jpg,test,75,outdoor,day,sun_sky,man_made,Adobe
test_0076.jpg,test,76,outdoor,night,artificial,man_made,AdobeMIT
test_0077.jpg,test,77,outdoor,unknown,sun_sky,nature,AdobeMIT
test_0079.jpg,test,79,outdoor,day,sun_sky,man_made,Adobe
test_0081.jpg,test,81,outdoor,day,sun_sky,nature,AdobeMIT
test_0082.jpg,test,82,outdoor,day,sun_sky,nature,AdobeMIT
test_0083.jpg,test,83,outdoor,day,sun_sky,nature,AdobeMIT
test_0085.jpg,test,85,outdoor,day,sun_sky,nature,AdobeMIT
test_0087.jpg,test,87,outdoor,day,sun_sky,man_made,Adobe
test_0088.jpg,test,88,outdoor,day,sun_sky,man_made,AdobeMIT
test_0091.jpg,test,91,outdoor,day,sun_sky,man_made,AdobeMIT
test_0092.jpg,test,92,outdoor,day,sun_sky,man_made,AdobeMIT
test_0094.jpg,test,94,outdoor,day,sun_sky,nature,Adobe
test_0095.jpg,test,95,outdoor,day,sun_sky,man_made,Adobe
test_0098.jpg,test,98,outdoor,unknown,sun_sky,nature,Adobe
test_0102.jpg,test,102,outdoor,day,sun_sky,man_made,AdobeMIT
test_0103.jpg,test,103,outdoor,day,sun_sky,man_made,AdobeMIT
test_0107.jpg,test,107,outdoor,dusk,sun_sky,nature,Adobe
test_0108.jpg,test,108,outdoor,day,sun_sky,nature,AdobeMIT
test_0114.jpg,test,114,outdoor,day,sun_sky,man_made,AdobeMIT
test_0115.jpg,test,115,outdoor,day,sun_sky,man_made,Adobe
test_0117.jpg,test,117,outdoor,day,sun_sky,man_made,Adobe
test_0119.jpg,test,119,outdoor,day,sun_sky,nature,AdobeMIT
test_0121.jpg,test,121,outdoor,dusk,sun_sky,man_made,AdobeMIT
test_0122.jpg,test,122,outdoor,day,sun_sky,nature,AdobeMIT
test_0125.jpg,test,125,outdoor,day,sun_sky,man_made,Adobe
test_0126.jpg,test,126,outdoor,day,sun_sky,man_made,Adobe
test_0130.jpg,test,130,outdoor,day,sun_sky,nature,AdobeMIT
test_0131.jpg,test,131,outdoor,day,sun_sky,man_made,AdobeMIT
test_0132.jpg,test,132,outdoor,day,sun_sky,man_made,Adobe
test_0133.jpg,test,133,outdoor,day,sun_sky,nature,Adobe
test_0134.jpg,test,134,outdoor,day,sun_sky,man_made,Adobe
test_0135.jpg,test,135,outdoor,day,sun_sky,man_made,Adobe
test_0137.jpg,test,137,outdoor,day,sun_sky,nature,Adobe
test_0138.jpg,test,138,outdoor,night,mixed,man_made,AdobeMIT
test_0139.jpg,test,139,outdoor,day,sun_sky,nature,Adobe
test_0140.jpg,test,140,outdoor,day,sun_sky,man_made,Adobe
